search_content,search_engine,link_of_news,title,timestamp,media_name
TATA Lawsuits,Google,./read/CBMiuwFBVV95cUxNOXVxN0JmUG8yQnFyRWRPZlhsRkQtNGcxeGxZZHB4VWVnaUdZeUNzUnFqVm13WHZfWVJicGpyY3JWOFVwbnJjaXFDeGZNaDAydnVZYmlsQ3p1aXBTVWNnZ0xEa0JCUEYyLWRCX2xUOWZsLTZ0MEdxUGt6aFFrWk93dEVKT3BrMFVrOEpJVmM4QnJnUEdkLXZjUnk3Ml9tR05lWE95MkZGQlotUFhLc0ktNnNvZ3FpQUlUejBZ?hl=en-IN&gl=IN&ceid=IN%3Aen,US Supreme Court rejects Indian IT company's appeal in Epic trade secrets case,2023-11-21,Fierce healthcare
TATA Lawsuits,Google,./read/CBMisAFBVV95cUxPdzBkUGdBbnlpdWdoby1OeFVSQzd0NWM5dm1xZDNuRzh6NDZpWFVaT0Z2MmhyMlBHcW0wUU5LUWZHMjdCdjdscG03cTFUMUoxcEo4RWo1YlhSN2JSa3ctVXdtZW5jU3hSSjNxeVVPcE53Nkt6d0VrUmFOcnduZ1BxUWo0aDhHNTUya2dEdVNVbHBhRkVDZWM5QmJlQzFwQmNDV2kzYnc5cmlqTmtnUlRNSA?hl=en-IN&gl=IN&ceid=IN%3Aen,"Tata Fired White US Workers in Favor of Visa Holders, Suit Says",2024-04-09,Bloomberg Law
TATA Lawsuits,Google,./read/CBMinAFBVV95cUxQSjVlMDRyOEhPVC1LN0Y2ZXppX0FDZzhfSFljdFBLQmRtVnBnVnpaR082R2JPZ2xfbWtjNUMwb2xNb0ExSW5rYmZlZ0N2OHBhTTF1WjNnM0NpbWRDVnhYdGxZYi15U1prY3J3WFZxTzVxSU1WSHBCZVJNTUMtOVRVcFpwNFJubUxxZFQwYmJMbjJaMURCNllDSG1GSl8?hl=en-IN&gl=IN&ceid=IN%3Aen,"Third court case launched against Tata Steel, calls for closure",2024-05-27,DutchNews.nl
TATA Lawsuits,Google,./read/CBMi1gFBVV95cUxPN2k1MWlTQW1JZTAtMVdoOFdkODBfaG05WWk1ZjlEWjMwQVBCVF90SWdRbUZCRHF1czlOUE9RX25Vc3ZKUEZxNU1uV3lmTDVMQUdPLWJhY1EwUUVhS1BRR0YyOEQ3MDVrWWlsemh5VUJkNjZJRENlN1hsSnJDY1o1UjdWNXdoY2pqVmR6VHBSR0ZZVHdOUm5BYlQ2RUd1ZWRBRmZ6WUZpZGxPOTZxdG1PWC0xdHBRMHpsQ3FNaTM4ZTJORjBqZ0Rla1BvSFUtME9YeElkMVlR0gHbAUFVX3lxTE9XMllVcWVSQ0lGS2x4a05WQ0hYZjdpU0tNMFhYV3dZVWdrZkM5ck5Fa3U1VmhLeWxlT012U29aMnhHQW03YzRvVG9NSUFzU3FBSzJzQmVYVlZhTHY5ZDdMU25sNFl6R1VGZEt3Wkw1Z3N6dm9wemxjWnhJVVpUUkViMVZXUDcxdklocThiS3ozajB5Y1FrTU05R3YzVlpwc0Etel96djJUc3VTSm9ZakYyZXBRS3ktVUdidG9NZE5UalM0eG1GQ3UzM1hlY2VNYmM3cmhzOGljYjVoaw?hl=en-IN&gl=IN&ceid=IN%3Aen,TCS gets partial relief in racial discrimination lawsuit in US Court,2023-08-23,Mint
TATA Lawsuits,Google,./read/CBMivAFBVV95cUxOb2NLR1o5ZHpRM0NDUUtOOWQ4UzlrXzIxMU40dlJHRjl3cE5qNGlzUnBEXy1zY0l0emNBM3FvSTJqeEJpME9WTHRSc2kzWi1vWkcxQzNCWno2bUVxQ1lXRDRIY05VRVlWazUzd0tOSUNjQUhvNHBGc0x6aDZKOGJHTTlGd1RQdWpYQXZBRHNfbHhLVkxXYmVWTnJROUtlYTM1cjl3VzRIeUFBWFZjcmdRTEZZdkVpd3VlZXJhY9IBwgFBVV95cUxPSHRBRmtuTmVDd3pCcV9XdldwTVhLdUZrY1gwRWJLczFQRVBlOHY0LU1jWVlReE9JdzA3SGxKc29nSVpjSldIQ1JQVV9UNk1JR09fdFFDM3REUWdpbkw1dnFOOEtZRGRfOWppUTRIRGJDeUh0NUVFVC1yYXhBbjdLY3czZ2pNQmNacG8xR2ladzM5R0dtUkxYWFBENGRuZmRxM09xdWdTbm81NE5MalQ5MmU0N0ZSX3BIajlfNi0xTGFiQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,TCS faces $210 million penalty in DXC lawsuit,2023-11-27,The Economic Times
TATA Lawsuits,Google,./read/CBMivwFBVV95cUxNUUxya2ZYa2F1aWhkSVZDcE5yWHFDenIyWUVucms1X3pjMnBnRHZUM3B0a3BDX3FFZkpVMEJMeXBLZjYtUkhkOU1tTFB0ZWxEUFV3R0tWSWotRUVQcW40S1B1a19sTE5jVzdaQjdBZlBwdWlzOG9BOWVIOVZUajlmWVZQdFJQME1lUHZKeW1zSG5DT09kSDhWaE9TZVJvVlRjQzFkQ01IejlsZFAzT21ZRTdRZTdicW54QmtxTzJyY9IBxAFBVV95cUxPaFhjdjFiTGZaU1dHOUNLZGpOSUhpaXhlazUzS1dZSHJXZXRaV1FfQlJSaDhmVWtfUjBSeTc4UGQ4a2NCV3ZWNk9mZEppVUVIbFNjX3FBWGJLQ1RKZzVaNEhzN0tOMUpvcmR3LWRlQ3d5ajd4dERwVk45YUxHS2JPRHNieG94aGZMdGJBTXZTSTkwTlZ4b1NsTEVxVk9jTEVUQVJmSTJzeUphM0ZOLWhwVUpndWtkVkd0MXlUeUMxT0NkMV9I?hl=en-IN&gl=IN&ceid=IN%3Aen,TCS gets some relief in discrimination lawsuit,2023-08-22,The Economic Times
TATA Lawsuits,Google,./read/CBMi1gFBVV95cUxQZTRQcDJmZEs3RFFmZVZ0SGxJMW90YWtMUzdIREhiTzUzczN1NlhlN204eHREX2VPWW5wcXNqczBMZWpQOXRWQ0xhMm9UaHo1X1VSTWFUbkhmUVBtSkFkNUpNRm8yaHVjYWdvdHkxSDNpN0JldDk5U0lnSWV5dUctUm5aUmZSTVd5MXItNjYtb3R3LTJSYXV2QlZlNmtrMVRGczhSVVJfQVRaZUNzUFpDSUZrYmZ5SUZFSDFxNGtoNlAyZXhBTUpROUlRZ2w3RkpnU2hWZzV30gHbAUFVX3lxTFBLMnU1Ty15ZVlnOUhrRDdRV01tXzhRVmJEQzZzTEY2YnowUGVBREhGZzJtWFlBdEFVYlFQVmlMMXROYUFYTnYwcTB0a3lXMllqQ2VrWklWcWlmUGwwdUt1QnRGeFZWazBBRUJyMkNkUmc5RXdQcWU2MkhuOTVCaFMwdVpualY3YWc0djZZVE5qcVRKYU0xcXpVcDJjS0lTSGVHTUptSFdhMHRicWJXMXhQRVpIamU0UllWTktYWU4tbHUtdlJTdFNMMjhpeU5uNUw2aVM1VXQ1bzRrYw?hl=en-IN&gl=IN&ceid=IN%3Aen,Dutch group threatens lawsuit over Tata Steel pollution,2023-08-24,The Economic Times
TATA Lawsuits,Google,./read/CBMimwJBVV95cUxQbkZKTkJSSTNVckR5RmRtWkZOOFdtQVNOYlpJNWJJTWE1TTBiX1V5WFJ5WHh5MjNGT20wcGFfMHVrZDYxTm8tZkMwbENKYkVGQUNYV0UzNUZJMjdCSXVmNjFaUGRWUWFtczNiM2xJVzBPWlpYNGpSNnRaSEczVDlEUkZrVzV2ajR4cGx0QXZQUDAzdHUyeHJNblVsWTNMQnBUeEY4Z0FTNTVMamNkQlM2TlJ6a3Fkd1UxR2thWFVGLXFNekVkNGVGazNfRFYyLWlFcHpTNy1iVUUyY0o1N05fM1p0VVEzNjU4Qjh5QmtoV1Q2SWliVm1WVTFYa2lybmZYbUUwUDlFQ2Fxa21MNkp6c0pxQ25WOHlwanlZ0gGgAkFVX3lxTE9Vby1jclVIQjR2M1NyYUVEM0RjTnJvaXZBeExyckdSVGJZRkpMbnZFeDJGc2p6a1ZTV1BjOC15eno2dzFGQXRCbjlxQTQtNkc2Rm4zQzlDU0s3azhJR1ZVbi1tdFpRMFdoSkJLcTBXaWE3RkpNcUMybUN0M2lRQnNYS1E3cTlUUEJHVndoVmN6MUtNVkJ2cHU3Vk9iYTBnM2VIVGEtQXBmUkJzcWVUTi1ESVNZUzN5TGR6S2tXYk1BNWJzd2FSbXZ3ZWo1Q2pqTTAzWjdvU2tMYWVhalhNdW5zM1JqOHRlSG96Q295MzhxOE00Yng4a1YyVWUzX19RVTBiLUhjUlYxWnJTN25zbXdITk8zYVJ2WHpHWXJQUlBsOA?hl=en-IN&gl=IN&ceid=IN%3Aen,"TCS fined Rs 1,600 crore by the US court on complaint of this US-based company, here's the company's BSE",2024-06-21,The Times of India
TATA Lawsuits,Google,./read/CBMi4AFBVV95cUxNck5OTjlZMXhyYVg2TVN1THV6cVlPaWgySmVqU3Q1WjdOLXVlRFNsQzFDVEFjcXhrVG9xWHpZV3dvVDExM1QzSXgzUkdIV3pHUmxNYkQ2UjZwcFV6dWczWnhaQnN0WUhYWGdIN21QMTRwa0E4ZUlYcjduU3I0empQTXQ1MWxQV2FnU2l6WXh2UVVwX1paM1VzTTZGanFZTjIxSVNza01Db3VoYllTVVIxb0JQSG5VN19kLU5oWjRGQTAxb29vMU5JMWZlVG1ydGlCYVdKLTVVWE92V1AtX1FKM9IB5gFBVV95cUxNLTZ5M0tmSzB1aE8yLUFXbERPbVNHTlNGU015NDQtZmRRWldSZVJLSE5XZUdJWjlYZTdyOUFtSlBCeGdUb2ZXME1EckpsWXM2UkM4QkI3YVFzTmtDWmJpYk1pdlRVUlF6cFQ1MWlYUUN0aVF1ZDNrUHpaNDRURmdNNi14RGpGUDNWVjVTeFlWdk8yaWdETl83Ym03NWdmTERERXE1cG1HSVBHOTB4WTBqenRfNXRsVHVrOWlhYURJenNfWEI1emxjMXpnTjN2MDktWFpUdzNMTjNHR2JBRVFndmFwM2tMdw?hl=en-IN&gl=IN&ceid=IN%3Aen,IT services' focus on building IP and platforms may trigger more lawsuits,2024-10-10,Business Standard
TATA Lawsuits,Google,./read/CBMi0AFBVV95cUxOS1gxX0ZwZmdRWE5MWVhMYVVnNnEwanV0aTl3aVNqcVFXdmkyMzRhVHNtWXZWbG9kV19KblRzdU1YX3RQZE9yOVJkN1g2WVUwVHczcmliRUNTV1dMaUZIbnN6ek9LZ0QtTV9TVWdsNnZ5c3g3RXI3Nl81STdfOW5hR0R4OFJoTnYyamlOOEMyVzRhWEw4THpHTEJlaEZqUGdpNE9CQV9MQ1h2aEE1U3d3SHg5dFRGYzZ5VDdjQ1NpSHF4eW1SYUZ2RWppNmFELVl10gHWAUFVX3lxTE1PYzdVSldLemtlc3hCdlpTaVVDTGtXcVVqajNMcWJOZ3VUMFlsN0poQURxYlFaUDA5M01VZ05JVHlQanJrOFZOYnZLQ0FNVi0zN0xaVTRoYnNJTnNNbUZpSUtIaXZ4SngwdUpFZ3hyckNUWWVNZ0g4VUhxcGRUU0pnMWJLbm1jQ3p6NFo2cnZqTzF6Uzh2dmlSdm9SLW95M3dtQy1CZnJ2WFpHN204TG1VUW9lNWpRbVpPVWpxMXVDQUdFT2JSci1FcDlVNno1WW9ENHJ5WEE?hl=en-IN&gl=IN&ceid=IN%3Aen,TCS accused of firing US workers in favour of Indians on H-1B visa,2024-04-12,Business Standard
